TABLE NO.  1
 ID          AMT         DV          PRED        RES         WRES
  3.0000E+00  0.0000E+00  7.6300E-01  5.0339E-01  2.5961E-01  2.2437E-01
  3.0000E+00  0.0000E+00  6.5600E-01  2.2425E-01  4.3175E-01  6.7363E-01
  3.0000E+00  0.0000E+00  5.0000E-01  2.0570E-01  2.9430E-01 -3.7221E-01
  3.0000E+00  0.0000E+00  4.7200E-01  1.9021E-01  2.8179E-01 -3.0287E-01
  3.0000E+00  0.0000E+00  6.2700E-01  1.6266E-01  4.6434E-01  2.2541E+00
  3.0000E+00  0.0000E+00  2.6700E-01  1.3890E-01  1.2810E-01 -1.3569E+00
  3.0000E+00  0.0000E+00  5.1000E-01  1.0972E-01  4.0028E-01  3.4449E+00
  4.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0000E+00  5.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0000E+00  0.0000E+00  4.4100E-01  9.0298E-01 -4.6198E-01 -4.2268E-01
  4.0000E+00  0.0000E+00  1.2470E+00  1.5208E+00 -2.7385E-01  9.8588E-02
  4.0000E+00  0.0000E+00  1.2360E+00  2.0977E+00 -8.6165E-01 -3.4767E-01
  4.0000E+00  0.0000E+00  9.5500E-01  2.0834E+00 -1.1284E+00 -6.0870E-01
  4.0000E+00  0.0000E+00  9.9700E-01  1.6200E+00 -6.2302E-01 -2.7795E-01
  4.0000E+00  0.0000E+00  5.8800E-01  1.1933E+00 -6.0532E-01 -4.9723E-01
  4.0000E+00  0.0000E+00  4.3400E-01  4.3083E-01  3.1704E-03  1.3004E-01
  4.0000E+00  0.0000E+00  3.7600E-01  3.9840E-01 -2.2400E-02  4.7973E-03
  4.0000E+00  0.0000E+00  2.5500E-01  3.4068E-01 -8.5683E-02 -3.8471E-01
  4.0000E+00  0.0000E+00  1.7300E-01  2.9133E-01 -1.1833E-01 -6.9750E-01
  4.0000E+00  0.0000E+00  3.2600E-01  2.3031E-01  9.5692E-02  8.1402E-01
  5.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E+00  6.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.0000E+00  0.0000E+00  0.0000E+00  1.0836E+00  0.0000E+00  0.0000E+00
  5.0000E+00  0.0000E+00  4.1200E-01  1.8056E+00 -1.3936E+00 -6.6247E-01
  5.0000E+00  0.0000E+00  7.4100E-01  2.5172E+00 -1.7762E+00 -6.8344E-01
  5.0000E+00  0.0000E+00  1.1130E+00  2.4962E+00 -1.3832E+00 -5.3967E-01
  5.0000E+00  0.0000E+00  9.5900E-01  1.9440E+00 -9.8503E-01 -5.3339E-01
  5.0000E+00  0.0000E+00  1.0310E+00  1.4141E+00 -3.8305E-01 -1.7042E-01
  5.0000E+00  0.0000E+00  4.7100E-01  5.6452E-01 -9.3517E-02 -3.9864E-02
  5.0000E+00  0.0000E+00  3.7700E-01  5.1700E-01 -1.4000E-01 -2.1413E-01
  5.0000E+00  0.0000E+00  2.7900E-01  4.7808E-01 -1.9908E-01 -4.7778E-01
